Región;Porcentaje;ST.1;ST.5;ST.15;ST.25;ST.79;%.R;lat;lon
Bol;2;0;0;0;2;0;0;-16.523992;-68.194461
Bs.As;5;3;0;0;0;0;0;-36.774782;-59.855893
Cat.Arg;4;2;0;0;1;0;0;-28.464224;-65.779108
Cha.Arg;6;0;0;0;0;6;1;-27.215894;-59.022467
Chi;2;0;0;2;0;0;0;-33.426390;-70.657438
Ecu;5;0;0;3;0;1;0;-0.168049;-78.349482
Hdc;33;4;2;0;4;2;13;-34.598388;-58.399947
LaP.Arg;1;0;0;0;1;0;0;-34.919955;-57.953857
Men.Arg;18;5;0;0;5;2;14;-32.886781;-68.844440
SaJ.Arg;10;3;0;5;0;0;1;-31.535861;-68.527525
Tuc.Arg;1;0;0;0;1;0;0;-26.808921;-65.211279
Uru;1;0;0;0;0;0;0;-32.775925;-55.823811
